GDP,EC,Co2 Emission,Coal_consumption,Oil consumption,GiNi
92783947368.0,2.21,135.8,0.12,23.3,47.3
100846000000.0,2.36,146.8,0.15,26.0,46.85
110202000000.0,2.57,162.3,0.22,27.6,46.4
124749000000.0,2.74,173.6,0.28,28.0,45.86666666666667
143534000000.0,2.92,183.9,0.29,28.0,45.33333333333333
162691000000.0,3.04,189.7,0.31,28.9,44.8
193548000000.0,3.24,193.0,0.37,30.8,45.15
230814000000.0,3.36,201.0,0.41,29.4,45.5
202258000000.0,3.25,193.8,0.44,29.2,44.96666666666667
255017000000.0,3.35,215.3,0.62,29.2,44.43333333333333
297952000000.0,3.47,216.2,0.62,31.5,43.9
314443000000.0,3.73,229.3,0.66,32.8,42.599999999999994
323277000000.0,3.9,239.5,0.63,34.9,41.3
338062000000.0,3.94,249.4,0.64,35.0,41.2
301355000000.0,4.0,253.7,0.73,32.2,41.1
301255000000.0,4.21,258.3,0.78,36.2,41.16804123711341
319112000000.0,4.27,247.4,0.87,34.0,41.236082474226805
358792000000.0,4.33,255.0,0.93,34.2,41.30412371134021
365276000000.0,4.43,263.0,0.95,36.0,41.37216494845361
337006000000.0,4.11,256.0,1.14,31.1,41.440206185567014
5654463586.0,0.3,15.0,0.07,2.7,41.50824742268041
5863733231.0,0.32,15.8,0.07,3.0,41.57628865979382
5961418094.0,0.32,15.7,0.06,3.2,41.644329896907216
5180597621.0,0.33,15.7,0.06,3.3,41.71237113402062
5761588762.0,0.33,16.2,0.06,3.4,41.78041237113402
,0.37,18.2,0.06,4.0,41.848453608247425
7911136757.0,0.39,18.1,0.05,4.1,41.91649484536082
9567331065.0,0.42,19.4,0.05,4.4,41.98453608247423
12802281898.0,0.43,20.9,0.06,4.7,42.05257731958763
13940981798.0,0.44,20.6,0.06,4.5,42.12061855670103
12861983284.0,0.44,19.8,0.06,4.3,42.18865979381444
13604832424.0,0.46,21.5,0.06,4.4,42.256701030927836
15446825318.0,0.46,22.3,0.06,4.4,42.32474226804124
18530518395.0,0.46,21.0,0.05,4.2,42.39278350515464
20731243113.0,0.46,19.6,0.05,4.2,42.460824742268045
23244547385.0,0.47,19.1,0.05,4.1,42.52886597938144
24417617184.0,0.47,18.7,0.05,3.9,42.59690721649485
24164603059.0,0.48,20.3,0.05,3.8,42.66494845360825
24309279706.0,0.5,20.4,0.05,3.7,42.73298969072165
21665975319.0,0.53,20.5,0.05,3.7,42.80103092783505
24679795396.0,0.54,21.0,0.05,3.5,42.869072164948456
30604668357.0,0.58,22.0,0.05,3.1,42.937113402061854
40376354070.0,0.58,22.4,0.04,3.6,43.00515463917526
45176811594.0,0.61,23.4,0.05,3.6,43.073195876288665
43920222525.0,0.55,20.6,0.05,3.7,43.14123711340206
45495129385.0,0.65,25.9,0.05,4.1,43.20927835051547
42745329732.0,0.66,26.4,0.05,4.2,43.27731958762887
41649829860.0,0.67,28.0,0.05,4.3,43.34536082474227
46775620817.0,0.68,27.4,0.05,4.3,43.41340206185567
55314732279.0,0.72,28.5,0.05,5.0,43.481443298969076
63918703507.0,0.75,28.8,0.05,5.4,43.549484536082474
70140835299.0,0.76,29.7,0.05,5.6,43.61752577319588
66075143415.0,0.77,31.7,0.05,5.9,43.68556701030928
56227169851.0,0.77,30.4,0.05,6.0,43.75360824742268
58762260626.0,0.77,31.7,0.05,6.0,43.82164948453608
52623281957.0,0.81,32.3,0.05,6.2,43.88969072164949
53872425917.0,0.8,34.5,0.06,6.2,43.95773195876289
66627729311.0,0.83,34.5,0.06,6.4,44.02577319587629
88250885550.0,0.8,36.7,0.08,6.8,44.093814432989696
103905000000.0,0.83,35.8,0.09,6.8,44.161855670103094
114720000000.0,0.8,38.0,0.1,7.0,44.2298969072165
111539000000.0,0.81,37.8,0.09,7.1,44.2979381443299
137189000000.0,0.81,36.9,0.07,7.1,44.3659793814433
133131000000.0,0.81,37.9,0.09,7.2,44.4340206185567
121374000000.0,0.81,34.9,0.07,6.9,44.50206185567011
146518000000.0,0.83,34.8,0.06,6.9,44.570103092783505
168291000000.0,0.83,34.7,0.06,7.1,44.63814432989691
176207000000.0,0.84,36.3,0.07,7.0,44.70618556701031
190907000000.0,0.84,35.7,0.06,7.1,44.774226804123714
201313000000.0,0.88,35.8,0.06,7.3,44.84226804123711
178064000000.0,0.89,36.6,0.06,7.6,44.91030927835052
188943000000.0,0.89,35.7,0.05,7.7,44.978350515463916
206951000000.0,0.91,37.8,0.05,8.2,45.04639175257732
212226000000.0,0.91,37.7,0.06,8.2,45.11443298969073
212891000000.0,0.93,39.4,0.06,8.3,45.182474226804125
210701000000.0,0.84,34.1,0.06,6.9,45.25051546391753
6517304758.0,0.2,13.2,0.05615384615384615,4.2,45.31855670103093
7189017888.0,0.21,14.4,0.052307692307692305,4.6,45.386597938144334
7724873935.0,0.24,16.2,0.04846153846153846,5.1,45.45463917525773
8632749269.0,0.27,18.4,0.04461538461538461,5.9,45.52268041237114
9571800653.0,0.29,19.7,0.040769230769230766,6.3,45.590721649484536
7559179530.0,0.33,22.4,0.03692307692307692,7.2,45.65876288659794
8375086047.0,0.38,26.0,0.03307692307692307,8.3,45.72680412371134
9067872579.0,0.37,25.5,0.02923076923076923,8.2,45.794845360824745
11412421020.0,0.43,29.6,0.025384615384615387,9.6,45.86288659793814
15607825070.0,0.4,27.8,0.02153846153846154,9.0,45.93092783505155
16875240683.0,0.44,30.0,0.017692307692307695,9.7,45.998969072164954
19380945793.0,0.45,31.0,0.013846153846153848,10.0,46.06701030927835
22283185056.0,0.49,34.0,0.01,10.9,46.13505154639176
25762077665.0,0.51,35.3,0.01,11.2,46.203092783505156
31218507870.0,0.53,36.3,0.01,11.6,46.27113402061856
36848242784.0,0.52,34.7,0.01,10.9,46.33917525773196
40499645208.0,0.52,33.0,0.01,10.2,46.407216494845365
